ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.204102,0.539291,10.222641,-0.364824,0.55742,9.783996,0.162895,-0.015023,0.209213,-10.68,-16.6827,3.5679,31.0,1.1856,2.4841,-33.5846,6.1162,-3.4264,2.412,5.0,993.2166,58.22353,50.74291,-1.8946033,98.1,NaN,,,18.351,,0 / 24,20,2018-03-16 11:57:25:459
-0.247192,0.596756,10.174759,-0.321257,0.534129,9.786822,0.097972,0.030236,0.150175,1.5885,3.2759,-0.5831,31.0,1.3351,2.6337,-32.9849,1.3616,-3.1418,1.9339,5.0,993.2134,58.22353,50.74291,-1.8946033,98.1,NaN,,,18.351,,0 / 24,60,2018-03-16 11:57:25:499
-0.405212,0.55365,10.150818,-0.340904,0.539858,9.785843,0.060707,0.014609,-0.028937,-1.4023,0.9564,-2.475,31.0,1.3351,2.9343,-33.1345,1.7793,-3.1557,1.9952,5.0,993.2134,58.22353,50.74291,-1.8946033,98.1,NaN,,,18.351,,0 / 24,100,2018-03-16 11:57:25:539
-0.620697,0.591965,10.248978,-0.351591,0.538406,9.785544,-0.272287,0.054446,0.254513,4.1519,1.5667,1.37,31.0,1.6357,2.9343,-33.1345,350.3972,-3.1472,2.0577,5.0,993.22,58.22353,50.74291,-1.8946033,98.1,NaN,,,18.351,,0 / 24,140,2018-03-16 11:57:25:579
-1.793854,0.589569,11.019913,-0.433108,0.610825,9.778022,-0.82988,0.041791,0.639191,22.5237,31.1684,16.2019,31.0,1.6357,2.9343,-33.1345,350.3972,-3.1472,2.0577,5.0,993.2233,57.74346,50.74291,-1.8946033,98.1,NaN,,,18.351,,0 / 24,180,2018-03-16 11:57:25:619
-1.87764,0.958267,10.366287,-0.794474,0.927571,9.730304,-1.037621,0.017452,0.363023,50.4162,54.1178,46.2923,31.0,1.3351,2.4841,-33.1345,8.4611,-3.9775,3.0995,5.0,993.2233,57.74346,50.74291,-1.8946033,98.1,NaN,,,18.351,,0 / 24,220,2018-03-16 11:57:25:659
-1.403595,1.389237,9.260178,-1.010678,1.2655,9.671992,-0.335763,0.117166,-0.677204,35.9515,19.0231,51.419,36.0,2.3865,1.8845,-33.4351,18.2893,-5.4275,4.6678,5.0,993.2266,57.74346,50.74291,-1.8946033,98.1,NaN,,,18.351,,0 / 24,260,2018-03-16 11:57:25:699
-1.164169,1.607102,8.374314,-1.013104,1.422342,9.64992,-0.239472,0.368989,-1.594062,0.7947,-15.8286,49.8322,36.0,3.4363,-1.416,-34.0347,352.6032,-7.4144,5.9655,5.0,993.22,57.74346,50.74291,-1.8946033,98.1,NaN,,,18.351,,0 / 24,300,2018-03-16 11:57:25:739
-1.525696,1.552033,9.226654,-0.805575,1.402119,9.672409,-0.797032,0.106625,-0.553716,-22.5814,-35.6647,49.5271,36.0,4.0359,-0.6653,-34.0347,351.4778,-8.4949,5.6897,5.0,993.22,57.74346,50.74291,-1.8946033,98.1,NaN,,,18.351,,0 / 24,340,2018-03-16 11:57:25:779
-0.342957,0.802658,10.165176,-0.414609,1.246952,9.71821,0.020834,-0.434371,0.120962,-25.511,-61.1775,53.3109,36.0,3.8864,0.6851,-33.5846,336.8492,-7.7548,3.6092,5.0,993.21,57.74346,50.74291,-1.8946033,98.1,NaN,,,18.351,,0 / 24,380,2018-03-16 11:57:25:819
0.339386,0.678146,11.218628,-0.083955,1.155565,9.737967,0.378823,-0.490364,1.209915,11.3541,5.229,38.7238,36.0,1.3351,1.4343,-33.4351,344.5543,-6.7065,0.6694,5.0,993.2,57.74346,50.74291,-1.8946033,98.1,NaN,,,18.351,,0 / 24,420,2018-03-16 11:57:25:859
0.521347,0.781097,10.033493,-0.010131,1.242392,9.727629,0.172738,-0.488671,-0.098103,1.5273,-22.7256,42.3249,36.0,1.1856,1.4343,-33.7357,351.9031,-7.2195,0.4227,5.0,993.2,57.74346,50.74291,-1.8946033,98.1,NaN,,,18.351,,0 / 24,460,2018-03-16 11:57:25:899
1.129471,0.915176,10.213058,0.178571,1.23841,9.726501,0.736768,-0.362611,0.184544,0.9783,-19.0633,31.5216,34.0,1.1856,1.4343,-33.8852,345.0008,-7.2543,-0.7005,5.0,993.19,55.40409,50.74291,-1.8946033,98.1,NaN,,,18.351,,0 / 24,500,2018-03-16 11:57:25:939
0.346573,0.991791,10.323196,0.34558,1.260354,9.719181,-0.014094,-0.294587,0.380246,4.6397,-24.8003,31.7655,34.0,1.1856,1.4343,-33.8852,339.8897,-7.3351,-1.6028,5.0,993.18,55.40409,50.74291,-1.8946033,98.1,NaN,,,18.351,,0 / 24,540,2018-03-16 11:57:25:979
0.94751,0.721252,10.265732,0.502602,1.284587,9.709151,0.454307,-0.607042,0.324996,13.9174,-8.6264,22.1836,34.0,1.1856,1.4343,-33.8852,335.8544,-7.4196,-2.3759,5.0,993.18,55.40409,50.74291,-1.8946033,98.1,NaN,,,18.351,,0 / 24,580,2018-03-16 11:57:26:019
0.399246,1.04686,9.68634,0.522948,1.428875,9.68789,-0.113455,-0.38922,-0.260576,29.2371,9.8066,23.4653,34.0,0.5859,1.2848,-33.8852,333.1855,-7.9888,-3.1747,5.0,993.1767,55.40409,50.74291,-1.8946033,98.1,NaN,,,18.351,,0 / 24,620,2018-03-16 11:57:26:059
