sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (°/s);GYROSCOPE Y (°/s);GYROSCOPE Z (°/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
1.122284;1.422745;9.408615;-0.711267;1.233383;9.702744;1.901689;0.100943;-0.526987;59.7734;-9.0486;10.4851;2147.4836;5.5481;12.9059;-43.2755;348.5213;-4.7721;3.2348;5.0;1005.1301;41.82655;50.74793;-1.8690368;85.0;35.556015;;0.0;3.216;;17 / 23;16;2018-03-13 16:46:09:029
-0.747589;2.279877;8.575424;-0.754086;1.437297;9.671397;0.181839;0.752197;-1.307258;7.7713;22.5674;-58.1797;2147.4836;5.9982;12.3062;-43.2755;351.1387;-8.0157;4.0492;5.0;1005.1301;41.82655;50.74793;-1.8690368;85.0;35.556015;;0.0;3.216;;17 / 23;56;2018-03-13 16:46:09:069
-2.50972;0.029327;8.431778;-0.981452;1.265822;9.674959;-1.70627;-1.053225;-1.618214;-49.6626;31.8442;-28.7607;2147.4836;6.4484;12.4557;-43.2755;354.6799;-7.4163;5.7924;5.0;1005.0566;41.82655;50.74793;-1.8690368;85.0;35.556015;;0.0;3.216;;17 / 23;97;2018-03-13 16:46:09:110
-0.424362;2.895188;10.627258;-0.949813;0.876977;9.721067;0.446211;1.483775;-0.084091;-39.0429;-10.0252;-12.4032;2147.4836;6.5979;13.6566;-42.8253;351.5311;-5.741;5.8593;5.0;1004.92;41.82655;50.74793;-1.8690368;85.0;35.556015;;0.0;3.216;;17 / 23;137;2018-03-13 16:46:09:150
-1.145019;1.101929;7.957733;-0.857656;0.853041;9.731759;-0.18719;-0.270176;-2.438458;16.4991;-38.2237;-45.4233;2147.4836;6.4484;14.7064;-42.2256;354.5743;-4.7368;5.763;5.0;1004.92;37.69412;50.74793;-1.8690368;85.0;35.556015;;0.0;3.216;;17 / 23;177;2018-03-13 16:46:09:190
-0.055664;-0.052078;11.46524;0.0719;1.133094;9.740704;-0.152954;-1.373216;0.493917;48.9702;-172.0736;12.8657;2147.4836;1.799;14.4058;-42.8253;356.9569;-6.1631;1.2807;5.0;1004.8233;37.69412;50.74793;-1.8690368;85.0;35.556015;;0.0;3.216;;17 / 23;217;2018-03-13 16:46:09:230
-0.204102;-0.413605;7.969696;0.207988;1.179913;9.733187;-0.598258;-1.617386;-1.669485;-50.0289;93.7954;31.0539;2147.4836;1.0483;12.7563;-44.3253;353.9149;-6.9104;-1.2242;5.0;1004.81;37.69412;50.74793;-1.8690368;85.0;35.556015;;0.0;3.216;;17 / 23;257;2018-03-13 16:46:09:270
0.990601;2.143402;11.656769;-0.280274;0.910644;9.760255;1.219098;1.222703;1.642705;2.2783;62.4233;-10.2062;2147.4836;1.1993;12.7563;-44.0262;353.9149;-6.9104;-1.2242;5.0;1004.81;37.69412;50.74793;-1.8690368;85.0;35.556015;;0.0;3.216;;17 / 23;298;2018-03-13 16:46:09:311
-0.900818;0.328598;11.338333;-0.542647;0.992286;9.741217;-0.59682;-0.61538;1.656753;24.19;61.0805;-9.2899;2147.4836;4.7989;13.2065;-44.0262;354.1823;-5.3282;1.6448;5.0;1004.81;37.69412;50.74793;-1.8690368;85.0;35.556015;;0.0;3.216;;17 / 23;337;2018-03-13 16:46:09:350
-2.296631;0.414795;8.575424;-0.935153;1.064513;9.703746;-1.262857;-0.769012;-1.35576;-3.0319;-9.5985;26.415;2147.4836;5.5481;13.356;-44.0262;350.9632;-6.1221;4.1404;5.0;1004.7866;37.69412;50.74793;-1.8690368;85.0;35.556015;;0.0;3.216;;17 / 23;377;2018-03-13 16:46:09:390
-0.441132;1.291061;9.008789;-0.412036;1.095966;9.736502;0.104864;0.476994;-0.346532;13.9358;-86.5635;50.5849;2147.4836;5.9982;13.2065;-44.0262;354.361;-6.2317;5.5046;5.0;1004.7866;37.69412;50.74793;-1.8690368;85.0;35.556015;;0.0;3.216;;17 / 23;417;2018-03-13 16:46:09:430
-0.857712;0.39563;8.472473;-0.003958;1.277924;9.723028;-0.721209;-0.720282;-1.287817;31.6973;-35.294;55.9564;2147.4836;3.299;13.2065;-44.0262;350.041;-6.4166;2.4232;5.0;1004.7333;37.69412;50.74793;-1.8690368;85.0;35.556015;;0.0;3.216;;17 / 23;457;2018-03-13 16:46:09:470
0.246017;3.14418;10.29686;0.272522;1.325858;9.712786;0.784312;0.922689;0.479193;-0.4074;-53.5434;-14.539;2147.4836;2.6993;12.7563;-44.0262;349.3399;-7.7651;-0.7068;5.0;1004.7266;43.59497;50.74793;-1.8690368;85.0;35.556015;;0.0;3.216;;17 / 23;496;2018-03-13 16:46:09:509
-0.127487;0.539291;10.074203;0.392331;1.455116;9.690155;-0.24405;-1.106947;1.191963;40.3639;44.9057;-20.7035;2147.4836;2.6993;12.4557;-44.1757;344.0912;-7.7657;-2.7089;5.0;1004.7266;43.59497;50.74793;-1.8690368;85.0;35.556015;;0.0;3.216;;17 / 23;536;2018-03-13 16:46:09:549
0.949905;2.46901;9.085403;0.437098;1.657526;9.655669;0.583397;0.774776;-0.727544;18.3307;-31.7541;-23.9994;2147.4836;2.6993;10.9558;-44.3253;345.6451;-9.0682;-2.0203;5.0;1004.77;43.59497;50.74793;-1.8690368;85.0;35.556015;;0.0;3.216;;17 / 23;576;2018-03-13 16:46:09:589
-0.225647;1.597519;10.093353;0.416579;1.703691;9.648539;0.394728;0.1623;0.50215;-2.1778;42.4036;-29.127;2147.4836;1.4984;10.8063;-44.7754;351.0344;-10.0047;-2.4722;5.0;1004.8133;43.59497;50.74793;-1.8690368;85.0;35.556015;;0.0;3.216;;17 / 23;616;2018-03-13 16:46:09:629
0.382477;1.434723;11.199478;-0.028878;1.713379;9.655769;0.250343;-0.475488;1.672002;21.9318;39.5351;-0.6234;2147.4836;1.1993;10.8063;-44.7754;355.7105;-9.8777;-0.4988;5.0;1004.8133;43.59497;50.74793;-1.8690368;85.0;35.556015;;0.0;3.216;;17 / 23;656;2018-03-13 16:46:09:669
-0.400421;2.083542;9.332001;-0.156766;1.91953;9.615676;-0.277552;0.064829;-0.47953;11.25;2.0598;-17.286;2147.4836;2.6993;10.5072;-44.6259;353.1752;-11.0157;0.8625;5.0;1004.8467;43.59497;50.74793;-1.8690368;85.0;35.556015;;0.0;3.216;;17 / 23;697;2018-03-13 16:46:09:710
-0.050873;1.777084;10.531494;-0.177039;1.941876;9.610836;0.250722;-0.067103;0.581479;9.053;5.3549;-5.6285;2147.4836;2.8488;9.7565;-44.6259;353.3865;-11.421;1.0553;5.0;1004.8633;43.59497;50.74793;-1.8690368;85.0;35.556015;;0.0;3.216;;17 / 23;736;2018-03-13 16:46:09:749
-0.991791;2.186493;9.375092;-0.235466;1.957899;9.60633;-0.859156;-0.312616;-0.157424;-18.8404;-15.5191;7.433;2147.4836;2.8488;9.7565;-44.9265;353.3865;-11.421;1.0553;5.0;1004.8633;43.59497;50.74793;-1.8690368;85.0;35.556015;;0.0;3.216;;17 / 23;776;2018-03-13 16:46:09:789
0.63147;2.813782;9.707886;-0.091147;1.807497;9.638207;0.679012;1.068629;-0.120545;-26.0426;1.2047;-25.6474;2147.4836;2.8488;9.7565;-44.9265;354.2384;-11.5165;1.4041;5.0;1004.8934;52.4402;50.74793;-1.8690368;85.0;35.556015;;0.0;3.216;;17 / 23;817;2018-03-13 16:46:09:830
-0.410004;1.101929;10.342346;-0.104259;1.629794;9.66971;-0.310186;-0.588929;0.470979;-19.3894;-14.664;-9.9002;2147.4836;3.299;9.7565;-44.9265;352.0308;-9.8879;0.6851;5.0;1004.8934;52.4402;50.74793;-1.8690368;85.0;35.556015;;0.0;3.216;;17 / 23;856;2018-03-13 16:46:09:869
0.155029;1.990173;9.954498;0.117771;1.557262;9.6815;0.229672;0.20048;0.438432;10.0296;5.7824;-6.849;2147.4836;3.299;11.557;-45.076;350.0541;-9.1125;-0.4161;5.0;1004.86;52.4402;50.74793;-1.8690368;85.0;35.556015;;0.0;3.216;;17 / 23;897;2018-03-13 16:46:09:910
-0.1203;1.719635;9.873093;0.022938;1.608886;9.673745;-0.264417;-0.067808;6.07E-4;5.3295;12.9234;-5.3225;2147.4836;2.0981;11.4059;-45.076;353.4091;-9.4427;-0.1359;5.0;1004.81;52.4402;50.74793;-1.8690368;85.0;35.556015;;0.0;3.216;;17 / 23;936;2018-03-13 16:46:09:949
-0.091568;1.389237;9.827606;0.028546;1.616665;9.672433;-0.377484;-0.383272;0.187216;-2.6044;-22.9652;-6.6051;2147.4836;2.0981;10.8063;-44.7754;353.3405;-9.4887;-0.1691;5.0;1004.81;52.4402;50.74793;-1.8690368;85.0;35.556015;;0.0;3.216;;17 / 23;977;2018-03-13 16:46:09:990
-0.266342;1.87764;8.929779;0.202568;1.564069;9.679;-0.497313;0.298729;-0.954188;-13.0414;-20.3406;-3.1867;2147.4836;1.6479;10.8063;-44.7754;353.3405;-9.4887;-0.1691;5.0;1004.8;52.4402;50.74793;-1.8690368;85.0;35.556015;;0.0;3.216;;17 / 23;1017;2018-03-13 16:46:10:030
-0.295074;0.996582;9.906601;0.16093;1.453694;9.696971;-0.393808;-0.490588;0.038089;-15.9711;13.7172;-1.4163;2147.4836;1.1993;11.2564;-44.7754;353.8549;-9.1773;-1.1989;5.0;1004.8033;52.4402;50.74793;-1.8690368;85.0;35.556015;;0.0;3.216;;17 / 23;1057;2018-03-13 16:46:10:070
0.042511;1.286285;10.167572;0.123252;1.412188;9.703655;-0.108581;-0.186995;0.175156;14.9123;4.5007;2.1236;2147.4836;1.4984;11.4059;-45.076;354.6375;-8.2909;-0.8031;5.0;1004.8033;52.4402;50.74793;-1.8690368;85.0;35.556015;;0.0;3.216;;17 / 23;1097;2018-03-13 16:46:10:110
0.107147;1.554428;9.343964;0.063687;1.502293;9.690688;0.251164;0.067667;-0.340575;0.1416;12.7407;8.5931;2147.4836;1.799;12.6068;-45.2255;352.9571;-8.7058;-0.5459;5.0;1004.8167;58.65056;50.74793;-1.8690368;85.0;35.556015;;0.0;3.216;;17 / 23;1137;2018-03-13 16:46:10:150
-0.125092;1.777084;9.571426;0.015841;1.460144;9.697325;-0.140571;0.300429;-0.337317;-13.8964;12.2519;9.1422;2147.4836;2.3987;12.0071;-45.2255;353.4422;-8.6823;-0.184;5.0;1004.83;58.65056;50.74793;-1.8690368;85.0;35.556015;;0.0;3.216;;17 / 23;1176;2018-03-13 16:46:10:189
0.066452;1.377258;9.92337;-0.012578;1.371739;9.71023;0.142588;0.03733;0.158897;-13.6525;-9.5373;11.1565;2147.4836;2.3987;11.8561;-44.1757;354.0304;-8.2562;0.1268;5.0;1004.83;58.65056;50.74793;-1.8690368;85.0;35.556015;;0.0;3.216;;17 / 23;1217;2018-03-13 16:46:10:230
0.085602;1.370071;10.162781;0.105503;1.278347;9.722402;0.089201;0.103068;0.286734;-7.8535;0.167;10.5462;2147.4836;2.3987;11.8561;-44.6259;352.354;-7.6413;-0.5089;5.0;1004.8267;58.65056;50.74793;-1.8690368;85.0;35.556015;;0.0;3.216;;17 / 23;1258;2018-03-13 16:46:10:271
0.073624;1.142624;9.918579;0.104609;1.234909;9.728024;-0.061334;-0.090691;-0.047062;-6.2667;-8.0721;9.5085;2147.4836;2.2491;12.3062;-44.6259;352.1812;-7.3341;-0.5384;5.0;1004.84;58.65056;50.74793;-1.8690368;85.0;35.556015;;0.0;3.216;;17 / 23;1296;2018-03-13 16:46:10:309
0.023346;1.216843;10.04068;0.147459;1.221337;9.729182;0.048542;-0.053382;0.197688;4.8417;1.3271;3.2217;2147.4836;2.2491;12.9059;-44.6259;351.7894;-7.1157;-0.8471;5.0;1004.84;58.65056;50.74793;-1.8690368;85.0;35.556015;;0.0;3.216;;17 / 23;1337;2018-03-13 16:46:10:350
0.040115;1.422745;9.578598;0.114168;1.274187;9.722849;-0.05251;0.112221;-0.282658;8.1377;1.7538;0.9022;2147.4836;2.2491;13.2065;-44.6259;352.0953;-7.3344;-0.7481;5.0;1004.8533;58.65056;50.747936;-1.8690394;85.0;35.556015;;0.0;3.216;;17 / 23;1376;2018-03-13 16:46:10:389
0.042511;1.312622;9.856323;0.13119;1.323242;9.71608;0.092919;-0.172368;0.055611;17.2317;-4.8373;-6.0552;2147.4836;2.2491;12.6068;-44.6259;352.1653;-7.7548;-0.7736;5.0;1004.8566;58.65056;50.747936;-1.8690394;85.0;35.556015;;0.0;3.216;;17 / 23;1420;2018-03-13 16:46:10:433
-0.194519;1.374863;9.511566;0.159714;1.432971;9.700075;-0.262946;-0.091184;-0.365379;4.2926;-3.678;0.7807;2147.4836;2.2491;12.6068;-44.9265;352.1653;-7.7548;-0.7736;5.0;1004.8566;58.65056;50.747936;-1.8690394;85.0;35.556015;;0.0;3.216;;17 / 23;1456;2018-03-13 16:46:10:469
0.368118;1.291061;10.069412;0.213917;1.422874;9.700519;0.016935;-0.153849;0.04038;-2.2381;-14.0538;2.0624;2147.4836;2.8488;11.7065;-45.8252;351.547;-8.4023;-0.9433;5.0;1004.8533;51.21437;50.747936;-1.8690394;85.0;35.556015;;0.0;3.216;;17 / 23;1496;2018-03-13 16:46:10:509
0.236435;1.240784;9.856323;0.35362;1.426196;9.695942;-0.136454;-0.302266;0.017521;1.3018;-22.2937;-0.9897;2147.4836;2.8488;11.557;-45.8252;347.1778;-8.3207;-1.5142;5.0;1004.86;51.21437;50.747936;-1.8690394;85.0;35.556015;;0.0;3.216;;17 / 23;1537;2018-03-13 16:46:10:550
0.617111;1.508942;9.892242;0.608634;1.401059;9.686949;0.082127;0.101751;0.058274;-8.4638;-52.9944;-6.2387;2147.4836;2.0981;11.557;-45.8252;347.8453;-8.3499;-2.4841;5.0;1004.86;51.21437;50.747936;-1.8690394;85.0;35.556015;;0.0;3.216;;17 / 23;1576;2018-03-13 16:46:10:589
0.758377;0.86969;9.952103;1.289539;1.196777;9.64755;-0.538669;-0.467945;-0.122322;-44.292;-126.1756;-6.5439;2147.4836;-3.9017;13.2065;-45.076;351.4131;-7.5873;-5.867;5.0;1004.8734;51.21437;50.747936;-1.8690394;85.0;35.556015;;0.0;3.216;;17 / 23;1616;2018-03-13 16:46:10:629
0.518951;1.269516;9.590576;2.075687;0.955362;9.536729;-1.602758;0.326956;-0.171051;-23.9671;-115.4335;2.9165;2147.4836;-4.8019;12.7563;-45.076;349.216;-5.9918;-10.5964;5.0;1004.8633;51.21437;50.747936;-1.8690394;85.0;35.556015;;0.0;3.216;;17 / 23;1657;2018-03-13 16:46:10:670
1.172562;0.639847;6.509232;2.925734;0.787494;9.32686;-1.537917;-0.327414;-3.02718;-44.0472;-123.3071;40.7582;2147.4836;-7.2021;13.2065;-44.9265;346.4211;-5.3485;-14.0669;5.0;1004.8633;51.21437;50.747936;-1.8690394;85.0;35.556015;;0.0;3.216;;17 / 23;1697;2018-03-13 16:46:10:710
