ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.675751,0.268738,10.308838,-0.58239,0.346282,9.783215,-0.077929,-0.200218,0.051404,1.9951,2.8737,-3.0372,52,-2.2934,14.3951,-18.8904,11.4839,-1.9366,3.5572,5,982.3499,49.65712,50.742893,-1.894647,98.1,NaN,,,19.097,,0 / 26,6,2018-03-06 15:00:11:174
-1.552032,0.228043,10.282501,-0.609541,0.345345,9.781594,-0.940494,-0.116844,0.267058,-0.6898,2.5074,-5.479,52,-2.1439,14.3951,-19.0399,12.1474,-2.0321,3.4975,5,982.3499,49.65712,50.742893,-1.894647,98.1,NaN,,,19.097,,0 / 26,46,2018-03-06 15:00:11:214
-0.45549,0.295074,10.6129,-0.464187,0.363261,9.788919,0.006377,-0.081468,0.579638,5.7186,-21.7849,-3.5871,55,-2.1439,14.3951,-19.0399,12.235,-2.0181,3.5658,5,982.3467,49.65712,50.742893,-1.894647,98.1,NaN,,,19.097,,0 / 26,87,2018-03-06 15:00:11:255
-0.398025,0.639847,10.622467,-0.425138,0.400286,9.78925,0.085155,0.240766,0.663897,8.8921,-0.1172,-2.427,55,-2.7435,14.3951,-18.7408,14.8577,-2.1229,2.7149,5,982.3667,49.65712,50.742893,-1.894647,98.1,NaN,,,19.097,,0 / 26,126,2018-03-06 15:00:11:294
-0.249588,0.512955,9.885056,-0.404201,0.481929,9.786457,0.126094,-0.004591,-0.059168,12.0666,-7.6857,-0.779,55,-2.8946,14.2456,-18.8904,14.4424,-2.586,2.4852,5,982.3667,49.65712,50.742893,-1.894647,98.1,NaN,,,19.097,,0 / 26,167,2018-03-06 15:00:11:335
0.013779,0.206497,10.112503,-0.348148,0.542125,9.785462,0.376281,-0.307971,0.009108,5.7186,-6.5255,-6.7607,55,-2.8946,13.945,-19.0399,13.8957,-3.071,2.1441,5,982.4033,49.65712,50.742893,-1.894647,98.1,NaN,,,19.097,,0 / 26,206,2018-03-06 15:00:11:374
0.102356,0.345352,9.633667,-0.329307,0.572699,9.784373,0.578403,-0.175192,-0.512623,3.5827,8.184,-9.0189,55,-2.8946,13.7955,-19.0399,13.5201,-3.2935,1.88,5,982.4333,49.3831,50.742893,-1.894647,98.1,NaN,,,19.097,,0 / 26,246,2018-03-06 15:00:11:414
-0.59436,0.410004,9.616913,-0.372055,0.582795,9.782245,-0.045936,-0.135054,-0.443696,1.9347,-0.1783,-5.1127,55,-2.8946,13.7955,-19.0399,13.5201,-3.2935,1.88,5,982.4333,49.3831,50.742893,-1.894647,98.1,NaN,,,19.097,,0 / 26,286,2018-03-06 15:00:11:454
-0.168182,0.333389,9.80365,-0.298928,0.597708,9.783853,0.11733,-0.290173,-0.203735,2.3011,-13.4838,-4.4413,55,-2.8946,13.7955,-19.0399,13.3116,-3.4943,1.75,5,982.4367,49.3831,50.742893,-1.894647,98.1,NaN,,,19.097,,0 / 26,326,2018-03-06 15:00:11:494
-0.038895,0.486618,9.964066,-0.250372,0.607412,9.784618,0.143031,-0.158755,-0.085638,0.8358,0.3104,-4.624,55,-2.8946,13.7955,-19.0399,13.3116,-3.4943,1.75,5,982.45,49.3831,50.742893,-1.894647,98.1,NaN,,,19.097,,0 / 26,366,2018-03-06 15:00:11:534
