ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.45549,-0.88765,10.148422,-0.62078,-0.781836,9.755703,0.054311,-0.051641,-0.013534,-1.7275,2.0799,-4.1361,44,-1.8433,20.0958,-15.8905,9.1629,4.5728,3.641,5,982.14,44.29386,50.742893,-1.8946455,98.1,NaN,,,18.494,,0 / 26,57,2018-03-06 14:57:48:063
-0.498581,-0.791885,10.124481,-0.65775,-0.799481,9.75185,-0.065568,0.018105,0.011989,-1.9715,8.0616,-3.2208,44,-2.4445,20.0958,-15.5899,9.1629,4.5728,3.641,5,982.14,44.29386,50.742893,-1.8946455,98.1,NaN,,,18.494,,0 / 26,97,2018-03-06 14:57:48:103
-1.441894,-0.767944,9.808441,-0.672005,-0.802564,9.750625,-0.716512,0.033203,-0.229275,-1.1785,-8.1123,-4.1361,44,-2.4445,19.9463,-15.4404,9.1172,4.6762,3.8587,5,982.1633,44.29386,50.742893,-1.8946455,98.1,NaN,,,18.494,,0 / 26,137,2018-03-06 14:57:48:143
-0.489014,-1.009766,10.174759,-0.629421,-0.816749,9.75229,0.191381,-0.166431,0.11689,-1.4836,3.1788,-0.2911,44,-2.4445,19.7952,-15.5899,9.2359,4.7774,3.6928,5,982.1833,44.29386,50.742893,-1.8946455,98.1,NaN,,,18.494,,0 / 26,176,2018-03-06 14:57:48:182
-0.477036,-0.942718,10.25856,-0.652146,-0.830717,9.749616,0.066476,-0.050098,0.118594,-1.7887,3.1176,0.6251,44,-2.4445,19.9463,-15.5899,9.2359,4.7774,3.6928,5,982.1833,44.29386,50.742893,-1.8946455,98.1,NaN,,,18.494,,0 / 26,217,2018-03-06 14:57:48:223
-0.649414,-0.794281,9.827606,-0.634514,-0.838673,9.750098,-0.08818,0.019099,-0.172427,-1.606,-7.1969,-1.3892,47,-2.1439,20.0958,-15.5899,9.3589,4.8593,3.8268,5,982.18,44.29386,50.742893,-1.8946455,98.1,NaN,,,18.494,,0 / 26,256,2018-03-06 14:57:48:262
-0.587173,-0.772736,10.016739,-0.600044,-0.848365,9.751441,0.224589,0.073224,-0.012846,-0.9346,0.9206,-2.8545,47,-2.1439,20.6955,-15.5899,9.2234,4.9197,3.6521,5,982.17,46.94742,50.742893,-1.8946455,98.1,NaN,,,18.494,,0 / 26,297,2018-03-06 14:57:48:303
-0.769134,-0.827805,9.973648,-0.601984,-0.858391,9.750444,-0.120636,0.026005,-0.048056,-1.9111,-1.1549,-3.831,47,-2.7435,20.6955,-15.741,8.6827,4.9776,3.5429,5,982.17,46.94742,50.742893,-1.8946455,98.1,NaN,,,18.494,,0 / 26,337,2018-03-06 14:57:48:343
-0.599136,-0.873291,10.014343,-0.594037,-0.87527,9.749432,0.01603,0.025432,-0.009842,-2.948,0.1268,-3.0372,47,-2.4445,20.0958,-15.741,9.1157,5.078,3.4941,5,982.18,46.94742,50.742893,-1.8946455,98.1,NaN,,,18.494,,0 / 26,377,2018-03-06 14:57:48:383
-0.560837,-0.88765,9.920975,-0.593871,-0.893827,9.747757,0.059784,0.017641,-0.157629,-3.1316,0.0664,-3.7698,47,-2.4445,20.0958,-15.4404,8.9013,5.1592,3.4944,5,982.2034,46.94742,50.742893,-1.8946455,98.1,NaN,,,18.494,,0 / 26,417,2018-03-06 14:57:48:423
-0.637451,-0.988205,10.095749,-0.585525,-0.91274,9.74651,0.045012,-0.038624,0.082854,-4.047,-1.46,-3.5259,47,-2.4445,20.2454,-15.4404,8.8931,5.2781,3.463,5,982.2034,46.94742,50.742893,-1.8946455,98.1,NaN,,,18.494,,0 / 26,457,2018-03-06 14:57:48:463
-0.486618,-0.949905,9.995193,-0.567557,-0.941372,9.744849,0.084033,0.026818,-0.049223,-3.8642,-0.6662,-2.7321,47,-2.7435,20.3949,-16.04,12.0479,5.5085,3.3332,5,982.22,46.94742,50.742893,-1.8946455,98.1,NaN,,,18.494,,0 / 26,497,2018-03-06 14:57:48:503
-0.527313,-1.024124,9.806046,-0.562803,-0.966892,9.742626,0.051126,-0.023198,-0.214434,-3.803,2.3247,-1.8779,47,-2.8946,20.3949,-14.8407,12.0479,5.5085,3.3332,5,982.21,46.94742,50.742893,-1.8946455,98.1,NaN,,,18.494,,0 / 26,536,2018-03-06 14:57:48:542
-0.517746,-0.957092,9.932938,-0.563454,-1.008292,9.738391,0.04503,0.087394,-0.094793,-6.4276,-1.1549,-4.0749,50,-2.8946,20.2454,-14.8407,11.8492,5.7303,3.3257,5,982.21,46.94742,50.742893,-1.8946455,98.1,NaN,,,18.494,,0 / 26,576,2018-03-06 14:57:48:582
-0.924759,-1.002579,9.434952,-0.56178,-1.055691,9.733463,-0.284841,0.126338,-0.461542,-8.0144,-0.2999,-2.7933,50,-2.8946,20.0958,-14.9902,11.8696,5.9014,3.3114,5,982.21,42.74399,50.742893,-1.8946455,98.1,NaN,,,18.494,,0 / 26,617,2018-03-06 14:57:48:623
-0.465073,-1.122284,9.657608,-0.572216,-1.109485,9.72687,-0.083798,-0.024355,-0.287643,-13.7513,1.836,-1.1453,52,-2.8946,20.0958,-14.9902,11.9148,6.1799,3.3032,5,982.2266,42.74399,50.742893,-1.8946455,98.1,NaN,,,18.494,,0 / 26,656,2018-03-06 14:57:48:662
-0.649414,-1.191727,9.140457,-0.598868,-1.210543,9.713204,0.127284,0.055104,-0.728392,-18.1462,8.4279,-0.2299,52,-2.2934,19.9463,-14.9902,9.2051,7.0907,3.5281,5,982.2266,42.74399,50.742893,-1.8946455,98.1,NaN,,,18.494,,0 / 26,696,2018-03-06 14:57:48:702
